Test Leap Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,0,0,0,0,0,0,0,
9,24,267,0,0,0,0,0,0,0.02,
9,24,267,-4.38008e-08,1.00205,26.4688,0.332143,-0.383688,0.263922,0.039,
9,24,267,0.0609999,0.98218,26.3319,0.363469,-0.362601,0.276097,0.062,
9,24,267,0.0567502,0.959427,26.285,0.366814,-0.354757,0.283102,0.083,
9,24,267,0.0372505,0.9402,26.2782,0.361144,-0.347242,0.284456,0.102,
9,24,267,0.0174999,0.908647,26.316,0.357706,-0.339291,0.281772,0.12,
9,24,267,0.0197496,0.870965,26.3563,0.355439,-0.336337,0.276528,0.137,
9,24,267,0.0275001,0.834145,26.3885,0.353515,-0.33514,0.267176,0.155,
9,24,267,0.0174999,0.737915,26.4348,0.347086,-0.331718,0.256673,0.173,
9,24,267,0.0107498,0.693375,26.4467,0.343234,-0.328738,0.254281,0.197,
9,24,267,0.0557499,0.509936,26.5534,0.332745,-0.322753,0.247703,0.221,
9,24,267,0.115,0.448264,26.5821,0.328644,-0.321907,0.244663,0.241,
9,24,267,0.18775,0.382424,26.6086,0.324497,-0.320891,0.240764,0.263,
9,24,267,0.22075,0.3378,26.5873,0.320975,-0.320074,0.239237,0.283,
9,24,267,0.2235,0.29445,26.5592,0.315121,-0.320189,0.239239,0.302,
9,24,267,0.172,0.234558,26.5355,0.311671,-0.318902,0.23733,0.322,
9,24,267,0.13525,0.200562,26.5401,0.314168,-0.315401,0.233594,0.342,
9,24,267,0.0965003,0.168227,26.5071,0.317696,-0.312392,0.232228,0.36,
9,24,267,0.0284996,0.119143,26.4656,0.319423,-0.309578,0.231573,0.38,
9,24,267,-0.06425,0.0758537,26.4311,0.320374,-0.310858,0.232463,0.399,
9,24,267,-0.226,0.0163204,26.376,0.318126,-0.310395,0.234221,0.419,
9,24,267,-0.34025,-0.0144651,26.3632,0.318173,-0.310141,0.235035,0.438,
9,24,267,-0.4395,-0.0603852,26.3576,0.317808,-0.310419,0.237171,0.456,
9,24,267,-0.52575,-0.105917,26.3063,0.317879,-0.310157,0.238856,0.474,
9,24,267,-0.61275,-0.177181,26.2703,0.317291,-0.308862,0.242497,0.492,
9,24,267,-0.688,-0.262281,26.2464,0.315592,-0.309424,0.246375,0.511,
9,24,267,-0.79475,-0.363375,26.2248,0.315617,-0.311179,0.256088,0.53,
9,24,267,-0.843,-0.415292,26.2089,0.316054,-0.314381,0.261807,0.55,
9,24,267,-0.86325,-0.484727,26.1866,0.316925,-0.315693,0.265352,0.569,
9,24,267,-0.8825,-0.547411,26.1556,0.317928,-0.316645,0.266443,0.588,
9,24,267,-0.93625,-0.597517,26.1083,0.317054,-0.319768,0.268676,0.611,
9,24,267,-0.97775,-0.606885,26.0866,0.314032,-0.323747,0.269756,0.63,
9,24,267,-1.04775,-0.611809,26.025,0.30926,-0.330554,0.270095,0.652,
9,24,267,-1.096,-0.620503,25.953,0.309243,-0.333281,0.271798,0.671,
9,24,267,-1.14525,-0.629466,25.8764,0.309387,-0.336086,0.27448,0.691,
9,24,267,-1.19675,-0.635846,25.7869,0.308681,-0.337865,0.278303,0.71,
9,24,267,-1.239,-0.643404,25.6983,0.306215,-0.340014,0.280673,0.729,
9,24,267,-1.28325,-0.670818,25.5868,0.301689,-0.343449,0.283294,0.751,
9,24,267,-1.30925,-0.697066,25.5209,0.29822,-0.346355,0.283608,0.769,
9,24,267,-1.31325,-0.757961,25.4599,0.297447,-0.347282,0.284113,0.788,
9,24,267,-1.351,-0.830587,25.3826,0.300608,-0.3492,0.286803,0.812,
9,24,267,-1.36775,-0.873827,25.3377,0.300579,-0.353594,0.289074,0.832,
9,24,267,-1.3915,-0.939427,25.2711,0.298562,-0.358557,0.289532,0.854,
9,24,267,-1.4175,-0.974513,25.2333,0.294777,-0.362409,0.290415,0.873,
9,24,267,-1.4175,-0.974513,25.2333,0.294777,-0.362409,0.290415,0.893,
9,24,267,-1.51575,-1.05049,25.1487,0.287863,-0.374638,0.297747,0.914,
9,24,267,-1.55725,-1.07248,25.1126,0.283792,-0.381158,0.300713,0.935,
