Test PMAC Forward Kinematics Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,-4.38008e-08,1.00205,26.4681,-0.785398,0.0716239,-3.13614e-09,0,
9,24,267,-4.38008e-08,1.00205,26.4681,-0.785398,0.0716239,-3.13614e-09,0.02,
9,24,267,-4.38008e-08,1.00205,26.4681,-0.785398,0.0716239,-3.13614e-09,0.039,
9,24,267,-4.38008e-08,1.00205,26.4681,-0.785398,0.0716239,-3.13614e-09,0.062,
9,24,267,-4.38008e-08,1.00205,26.4681,-0.785398,0.0716239,-3.13614e-09,0.083,
9,24,267,-4.38008e-08,1.00205,26.4681,-0.784441,0.0716239,-3.13614e-09,0.102,
9,24,267,-4.38058e-08,1.00216,26.4693,-0.782379,0.0716264,-3.13625e-09,0.12,
9,24,267,0.000590424,1.00227,26.4705,-0.778973,0.0716323,4.22701e-05,0.137,
9,24,267,0.0017345,1.00237,26.4723,-0.773653,0.0716351,0.00012417,0.155,
9,24,267,0.00306364,1.00254,26.4746,-0.765535,0.0716408,0.000219302,0.173,
9,24,267,0.00496573,1.00278,26.4778,-0.751434,0.0716498,0.000355414,0.197,
9,24,267,0.0064438,1.00297,26.4806,-0.736522,0.071656,0.000461159,0.221,
9,24,267,0.00781171,1.00316,26.4833,-0.71653,0.0716623,0.000558999,0.241,
9,24,267,0.00873645,1.00332,26.4854,-0.696501,0.0716679,0.000625125,0.263,
9,24,267,0.00980879,1.00341,26.4876,-0.674006,0.0716706,0.000701813,0.283,
9,24,267,0.0117498,1.00353,26.4907,-0.643392,0.0716731,0.000840625,0.302,
9,24,267,0.0146147,1.00359,26.4944,-0.614416,0.0716719,0.00104551,0.322,
9,24,267,0.0189763,1.0036,26.4987,-0.58082,0.0716673,0.00135742,0.342,
9,24,267,0.0245202,1.00355,26.503,-0.545622,0.0716589,0.00175387,0.36,
9,24,267,0.0314118,1.0034,26.5076,-0.505454,0.0716445,0.0022467,0.38,
9,24,267,0.038671,1.00317,26.5117,-0.46188,0.0716255,0.00276581,0.399,
9,24,267,0.0456132,1.00287,26.5152,-0.417165,0.0716036,0.0032623,0.419,
9,24,267,0.052165,1.00252,26.518,-0.368473,0.0715796,0.00373091,0.438,
9,24,267,0.0571639,1.00222,26.5198,-0.31864,0.0715597,0.00408853,0.456,
9,24,267,0.0608697,1.00197,26.5207,-0.268476,0.0715431,0.00435367,0.474,
9,24,267,0.0629132,1.00178,26.5208,-0.217538,0.0715323,0.00449999,0.492,
9,24,267,0.0635168,1.00166,26.5197,-0.162735,0.0715296,0.00454352,0.511,
9,24,267,0.0609289,1.00172,26.5172,-0.110914,0.071541,0.00435884,0.53,
9,24,267,0.0560571,1.00195,26.514,-0.0576383,0.0715614,0.00401052,0.55,
9,24,267,0.0481036,1.00232,26.5101,-0.00473112,0.0715913,0.00344168,0.569,
9,24,267,0.0371027,1.00277,26.5059,0.0462064,0.0716254,0.0026547,0.588,
9,24,267,0.0211305,1.00322,26.5009,0.0990031,0.0716594,0.00151194,0.611,
9,24,267,0.00410068,1.00342,26.4969,0.144768,0.0716754,0.000293419,0.63,
9,24,267,-0.0199854,1.00323,26.4929,0.191379,0.0716622,-0.00143004,0.652,
9,24,267,-0.0433786,1.00252,26.4901,0.229338,0.0716106,-0.00310386,0.671,
9,24,267,-0.0692555,1.00109,26.4879,0.264426,0.0715078,-0.00495534,0.691,
9,24,267,-0.0966324,0.998841,26.4865,0.29585,0.0713467,-0.00691403,0.71,
9,24,267,-0.129344,0.99516,26.4856,0.327587,0.0710832,-0.00925426,0.729,
9,24,267,-0.161574,0.990472,26.4856,0.353948,0.070748,-0.0115598,0.751,
9,24,267,-0.195016,0.984484,26.4856,0.376996,0.0703208,-0.0139519,0.769,
9,24,267,-0.232542,0.976301,26.4856,0.398719,0.0697382,-0.0166362,0.788,
9,24,267,-0.272482,0.965902,26.4875,0.416575,0.0689954,-0.0194921,0.812,
9,24,267,-0.308075,0.955129,26.4884,0.428891,0.0682271,-0.0220372,0.832,
9,24,267,-0.347982,0.941313,26.4893,0.43793,0.0672436,-0.0248908,0.854,
9,24,267,-0.383915,0.927238,26.4901,0.442882,0.0662406,-0.0274596,0.873,
9,24,267,-0.4239,0.909633,26.4905,0.444299,0.0649874,-0.0303183,0.893,
9,24,267,-0.460602,0.891629,26.4908,0.442053,0.0637049,-0.0329417,0.914,
9,24,267,-0.495559,0.872693,26.4908,0.43596,0.0623555,-0.0354397,0.935,
9,24,267,-0.529529,0.852509,26.4908,0.426958,0.0609169,-0.0378668,0.953,
9,24,267,-0.565704,0.828946,26.4908,0.41479,0.0592371,-0.040451,0.972,
9,24,267,-0.608702,0.797807,26.4897,0.396049,0.0570213,-0.0435252,0.993,
9,24,267,-0.646523,0.767581,26.4897,0.377272,0.0548611,-0.0462223,1.018,
9,24,267,-0.677495,0.740307,26.4889,0.36098,0.0529186,-0.048436,1.036,
9,24,267,-0.709381,0.709799,26.4886,0.343879,0.0507413,-0.0507115,1.054,
9,24,267,-0.740389,0.677395,26.4882,0.327274,0.0484285,-0.052924,1.072,
9,24,267,-0.773057,0.639881,26.4879,0.310209,0.0457505,-0.0552547,1.093,
9,24,267,-0.801387,0.603997,26.4879,0.296089,0.0431882,-0.0572752,1.112,
9,24,267,-0.828119,0.566817,26.4879,0.283681,0.0405318,-0.0591801,1.131,
9,24,267,-0.853051,0.528583,26.4879,0.273041,0.0377998,-0.0609564,1.149,
9,24,267,-0.876575,0.488627,26.4879,0.264849,0.0349446,-0.0626324,1.168,
9,24,267,-0.895604,0.452841,26.4879,0.259345,0.032387,-0.0639881,1.186,
9,24,267,-0.916817,0.40819,26.4879,0.255424,0.0291955,-0.0654994,1.204,
9,24,267,-0.939486,0.3529,26.4879,0.254043,0.0252427,-0.0671141,1.229,
9,24,267,-0.953703,0.311982,26.4879,0.254927,0.0223178,-0.0681295,1.251,
9,24,267,-0.966105,0.271387,26.4879,0.25778,0.0194154,-0.0690153,1.269,
9,24,267,-0.976531,0.231078,26.4879,0.261388,0.0165322,-0.0697577,1.289,
9,24,267,-0.984779,0.192927,26.4879,0.265033,0.0138031,-0.0703449,1.306,
9,24,267,-0.992021,0.151345,26.4879,0.269212,0.0108284,-0.0708605,1.325,
