Test motor Data
q1,q2,q3,q6,q7
6.99925,11,8.5,1.5708,-0.785398,
6.99925,11,8.5,1.5708,-0.785398,
6.99925,11,8.5,1.5708,-0.785398,
6.99925,11,8.5,1.5708,-0.785398,
6.99925,11,8.5,1.5708,-0.785398,
6.99925,11,8.5,1.5708,-0.784441,
6.99925,11.0004,8.50091,1.5708,-0.782379,
6.99962,11.0013,8.50082,1.57021,-0.778973,
7.0004,11.0017,8.50141,1.56907,-0.773653,
7.00098,11.0026,8.50218,1.56774,-0.765535,
7.00169,11.0041,8.50321,1.56584,-0.751434,
7.00256,11.0052,8.50413,1.56437,-0.736522,
7.00335,11.0062,8.50492,1.56301,-0.71653,
7.00387,11.0072,8.50558,1.56209,-0.696501,
7.00502,11.0077,8.50617,1.56102,-0.674006,
7.0067,11.0083,8.50696,1.55909,-0.643392,
7.00924,11.0085,8.50792,1.55623,-0.614416,
7.01247,11.0086,8.50889,1.55189,-0.58082,
7.0158,11.0087,8.50987,1.54637,-0.545622,
7.01969,11.0085,8.51062,1.5395,-0.505454,
7.02342,11.0084,8.51116,1.53227,-0.46188,
7.02682,11.0082,8.51142,1.52534,-0.417165,
7.02987,11.008,8.51139,1.51881,-0.368473,
7.03198,11.0079,8.51114,1.51382,-0.31864,
7.03336,11.0078,8.51088,1.51012,-0.268476,
7.03411,11.0075,8.5105,1.50808,-0.217538,
7.03411,11.0075,8.5094,1.50747,-0.162735,
7.03301,11.0075,8.50799,1.51005,-0.110914,
7.03048,11.0075,8.50727,1.51491,-0.0576383,
7.02715,11.0076,8.50661,1.52284,-0.00473112,
7.02351,11.0077,8.50588,1.53381,0.0462064,
7.01883,11.0079,8.50544,1.54974,0.0990031,
7.0151,11.008,8.50506,1.56671,0.144768,
7.01107,11.0081,8.50502,1.59071,0.191379,
7.00792,11.0082,8.5052,1.61404,0.229338,
7.00556,11.0083,8.5053,1.63987,0.264426,
7.00394,11.0084,8.50544,1.66724,0.29585,
7.00265,11.0085,8.50577,1.70005,0.327587,
7.00227,11.0086,8.506,1.7325,0.353948,
7.00188,11.009,8.506,1.76635,0.376996,
7.00188,11.009,8.506,1.80463,0.398719,
7.00352,11.0085,8.50673,1.84575,0.416575,
